"plant","synonyms","articles","show_in_sidebar"
"pomodori","pomodori, pomodoro","dei",True
"patate","patate, patata","delle",True
"zucchine","zucchine, zucchina","delle",True
"cipolla","cipolla, cipolle","della",True
"cipolline","cipolline, cipollina","delle",True
"zucca","zucca, zucche","della",True
"fagioli","fagioli, fagiolo","dei",True
"melone","melone, meloni","del",True
"carote","carote, carota","delle",True
"melanzane","melanzane, melanzana","delle",True
"peperoni","peperoni, peperone","dei",True
"cavoli","cavoli, cavolo","dei",True
"carciofi","carciofi, carciofo","dei",True
"fagiolini","fagiolini, fagiolino","dei",True
"arachidi","arachidi, arachide","delle",False
"anguria","anguria, angurie","dell’",False
"piselli","piselli, pisello","dei",False
"finocchi","finocchi, finocchio","dei",False
"asparagi","asparagi, asparago","degli",False
"spinaci","spinaci, spinacio","degli",False
"lattuga","lattuga, lattughe","della",False
"fave","fave, fava","delle",False
"cappuccio","cappuccio, cappucci","del",False
"cavolfiore","cavolfiore, cavolfiori","del",False
"broccoli","broccoli, broccolo","dei",False
"radicchio","radicchio, radicchi","del",False
"sedano","sedano, sedani","del",False
"bieta da coste","bieta da coste, bieta, coste, bietola da costa, bietola","della",False
"soncino","soncino, soncina, Valerianella locusta","del",False
"cetrioli","cetrioli, cetriolo","dei",False
"topinambur","topinambur","del",False
"peperoncini","peperoncini, peperoncino","dei",False
"catalogna","catalogna, catalogne","della",False
"rucola","rucola, ruchetta","della",False
"ravanelli","ravanelli, ravanello","dei",False
"scalogno","scalogno, scalogni","dello",False
"erbette da taglio","erbette da taglio, erbetta da taglio, bietolina","delle",False
"ceci","ceci","dei",False
"mais","mais, pannocchie, pannocchia","del",False
"pannocchia","mais, pannocchie, pannocchia","della",False
"cime di rapa","cime di rapa, cima di rapa, rapa","delle",False
"barbabietole","barbabietole, barbabietola","delle",False
"cicoria","cicoria","della",False
"porro","porro, porri","del",False
"pak choi","pak choi","del",False
"verza","verza, verze","della",False
"cardi","cardi, cardo","dei",False
"scarola","scarola, scarole","della",False
"cavoli","cavolo rapa, cavoli rapa, rapa, cavoli","dei",False
"cavolo nero","cavolo nero, cavoli nero","del",False
"batata","batata, patata dolce","della",False
"kale","kale, cavolo riccio","del",False
"rabarbaro","rabarbaro","del",False
"insalata","insalata","dell’",False
"okra","okra","dell’",False
"capperi","capperi, cappero","dei",False
"pastinaca","pastinaca","della",False
"scorzonera","scorzonera","della",False
"luffa","luffa","della",False
"lupini","lupini","dei",False
"luppolo","luppolo","del",False
"tomatillo","tomatillo","del",False
"lenticchie","lenticchie, lenticchia","delle",False
"brassica","brassica","della",False
"agretti","agretti","degli",False
"cavoletti di bruxelles","cavoletti di bruxelles, cavoletti","dei",False
"melo","melo, mela","del",False
"pero","pero, pera","del",False
"melograno","melograno, melograni","del",False
"olivo","olivo, olivi","dell’",False
"pesco","pesco, pesca, pesche","del",False
"albicocco","albicocco, albicocca, albicocchi","dell’",False
"susino","susino, susini, susina","del",False
"ciliegio","ciliegio, ciliegi, ciliegia","del",False
"arancio","arancio, arancia, aranci","dell’",False
"limone","limone, limoni","del",False
"kaki","kaki, kako, caco, cachi","dei",False
"fico","fico, fico","del",False
"gelso","gelso","del",False
"kiwi","kiwi","del",False
"nocciolo","nocciolo, nocciola, nocciolina, noccioline","del",False
"cedro","cedro, cedri","del",False
"mandarino","mandarino, mandarini","del",False
"pompelmo","pompelmo, pompelmi","del",False
"cotogno","cotogno","del",False
"noce","noce, noci","della",False
"mandorlo","mandorlo, mandorla","del",False
"bergamotto","bergamotto, bergamotti","del",False
"corbezzolo","corbezzolo","del",False
"kumquat","kumquat","del",False
"pistacchio","pistacchio, pistacchi","del",False
"vite","vite","della",False
"uva","vite,uva","della",False
"nespolo","nespolo, nespola, nespole","del",False
"corniolo","corniolo","del",False
"giuggiolo","giuggiolo, giuggiola, giuggiole","del",False
"lamponi","lamponi, lampone","dei",False
"mirtilli","mirtillo, mirtilli","dei",False
"fragole","fragole, fragola","delle",False
"fragoline","fragoline, fragolina","delle",False
"more","more, mora","more",False
"aronia","aronia","dell’",False
"ribes","ribes","dei",False
"goji","goji","goji",False
"olivello","olivello","dell’",False
"alchechengi","alchechengi","degli",False
"salvia","salvia","della",False
"origano","origano","dell’",False
"rosmarino","rosmarino","del",False
"prezzemolo","prezzemolo","del",False
"basilico","basilico","del",False
"menta","menta","della",False
"erba cipollina","erba cipollina","dell’",False
"maggiorana","maggiorana","della",False
"timo","timo","del",False
"finocchietto","finocchietto","del",False
"alloro","alloro","dell’",False
"zafferano","zafferano","dello",False
"aneto","aneto","dell’",False
"anice","anice","dell’",False
"cumino","cumino","del",False
"santoreggia","santoreggia","della",False
"cerfoglio","cerfoglio","del",False
"coriandolo","coriandolo","del",False
"borragine","borragine","della",False
"levistico","levistico","del",False
"zenzero","zenzero","dello",False
"dragoncello","dragoncello","del",False
"crescione","crescione","del",False
"melissa","melissa","della",False
"lavanda","lavanda","della",False
"erba s.pietro","erba s.pietro, pietro","dell’",False
"aglio","aglio","dell’",False
"erba luigia","erba luigia","dell’",False
"rafano","rafano, rafani, cren","del",False
"acetosa","acetosa","dell’",False
"stevia","stevia","della",False
"pepe","pepe","del",False
"issopo","issopo","dell’",False
